Date,Airbus,Boeing
2010-01-04,13.989999771118164,56.18000030517578
2010-01-05,13.944999694824219,58.02000045776367
2010-01-06,14.069999694824219,59.779998779296875
2010-01-07,14.210000038146973,62.20000076293945
2010-01-08,14.350000381469727,61.599998474121094
2010-01-11,14.479999542236328,60.869998931884766
2010-01-12,14.100000381469727,60.43000030517578
2010-01-13,14.104999542236328,61.15999984741211
2010-01-14,14.229999542236328,61.560001373291016
2010-01-15,14.430000305175781,60.81999969482422
2010-01-18,14.710000038146973,
2010-01-19,14.805000305175781,60.650001525878906
2010-01-20,14.8149995803833,60.20000076293945
2010-01-21,14.399999618530273,59.20000076293945
2010-01-22,14.1850004196167,57.77000045776367
2010-01-25,13.954999923706055,57.779998779296875
2010-01-26,14.010000228881836,57.709999084472656
2010-01-27,13.795000076293945,61.93000030517578
2010-01-28,13.774999618530273,62.560001373291016
2010-01-29,14.199999809265137,60.599998474121094
2010-02-01,14.274999618530273,61.70000076293945
2010-02-02,14.609999656677246,61.939998626708984
2010-02-03,14.625,61.459999084472656
2010-02-04,14.25,59.31999969482422
2010-02-05,14.100000381469727,58.400001525878906
2010-02-08,14.010000228881836,57.88999938964844
2010-02-09,13.805000305175781,59.7400016784668
2010-02-10,13.795000076293945,59.540000915527344
2010-02-11,13.729999542236328,60.59000015258789
2010-02-12,13.75,59.650001525878906
2010-02-15,13.550000190734863,
2010-02-16,13.795000076293945,61.2599983215332
2010-02-17,14.479999542236328,61.81999969482422
2010-02-18,14.65999984741211,62.88999938964844
2010-02-19,14.864999771118164,63.59000015258789
2010-02-22,14.869999885559082,63.970001220703125
2010-02-23,15.045000076293945,62.77000045776367
2010-02-24,14.734999656677246,63.47999954223633
2010-02-25,14.529999732971191,62.869998931884766
2010-02-26,15.154999732971191,63.15999984741211
2010-03-01,15.364999771118164,64.0
2010-03-02,15.444999694824219,64.44000244140625
2010-03-03,15.484999656677246,64.44999694824219
2010-03-04,15.645000457763672,65.55000305175781
2010-03-05,15.954999923706055,67.93000030517578
2010-03-08,15.880000114440918,67.23999786376953
2010-03-09,15.4350004196167,67.79000091552734
2010-03-10,15.274999618530273,70.01000213623047
2010-03-11,14.850000381469727,70.06999969482422
2010-03-12,14.675000190734863,69.83000183105469
2010-03-15,14.654999732971191,69.4000015258789
2010-03-16,14.640000343322754,68.72000122070312
2010-03-17,14.479999542236328,69.37999725341797
2010-03-18,14.680000305175781,70.87000274658203
2010-03-19,14.829999923706055,70.72000122070312
2010-03-22,15.0,71.91000366210938
2010-03-23,14.6899995803833,72.18000030517578
2010-03-24,15.15999984741211,72.31999969482422
2010-03-25,15.265000343322754,72.48999786376953
2010-03-26,15.324999809265137,72.58999633789062
2010-03-29,15.305000305175781,74.11000061035156
2010-03-30,14.880000114440918,73.52999877929688
2010-03-31,14.895000457763672,72.61000061035156
2010-04-01,15.244999885559082,72.98999786376953
2010-04-06,15.145000457763672,72.36000061035156
2010-04-07,14.989999771118164,72.0999984741211
2010-04-08,14.539999961853027,72.27999877929688
2010-04-09,14.899999618530273,72.41999816894531
2010-04-12,14.774999618530273,71.91999816894531
2010-04-13,14.515000343322754,71.19000244140625
2010-04-14,14.699999809265137,71.69999694824219
2010-04-15,14.765000343322754,72.08999633789062
2010-04-16,14.609999656677246,70.79000091552734
2010-04-19,14.414999961853027,70.95999908447266
2010-04-20,14.635000228881836,71.41000366210938
2010-04-21,14.579999923706055,74.16000366210938
2010-04-22,14.364999771118164,75.58999633789062
2010-04-23,14.515000343322754,75.12999725341797
2010-04-26,14.585000038146973,74.33999633789062
2010-04-27,14.03499984741211,72.4800033569336
2010-04-28,13.9399995803833,72.37000274658203
2010-04-29,14.21500015258789,73.79000091552734
2010-04-30,14.029999732971191,72.43000030517578
2010-05-03,13.850000381469727,74.38999938964844
2010-05-04,13.654999732971191,72.79000091552734
2010-05-05,13.805000305175781,71.0
2010-05-06,13.949999809265137,67.97000122070312
2010-05-07,13.880000114440918,66.72000122070312
2010-05-10,14.154999732971191,71.0
2010-05-11,14.649999618530273,71.41999816894531
2010-05-12,15.395000457763672,72.87000274658203
2010-05-13,15.529999732971191,71.76000213623047
2010-05-14,16.315000534057617,69.81999969482422
2010-05-17,15.994999885559082,69.68000030517578
2010-05-18,16.979999542236328,67.72000122070312
2010-05-19,16.360000610351562,66.20999908447266
2010-05-20,16.03499984741211,63.0
2010-05-21,15.850000381469727,64.55999755859375
2010-05-24,15.680000305175781,63.150001525878906
2010-05-25,15.260000228881836,62.779998779296875
2010-05-26,15.765000343322754,63.2599983215332
2010-05-27,16.030000686645508,65.12999725341797
2010-05-28,16.084999084472656,64.18000030517578
2010-05-31,16.290000915527344,
2010-06-01,16.05500030517578,62.95000076293945
2010-06-02,16.049999237060547,64.33999633789062
2010-06-03,16.295000076293945,64.30999755859375
2010-06-04,16.09000015258789,61.150001525878906
2010-06-07,16.1299991607666,60.11000061035156
2010-06-08,16.225000381469727,61.02000045776367
2010-06-09,17.219999313354492,61.709999084472656
2010-06-10,17.985000610351562,63.88999938964844
2010-06-11,17.645000457763672,65.37999725341797
2010-06-14,18.31999969482422,64.81999969482422
2010-06-15,18.3700008392334,67.4800033569336
2010-06-16,18.049999237060547,67.02999877929688
2010-06-17,17.985000610351562,67.26000213623047
2010-06-18,17.93000030517578,67.95999908447266
2010-06-21,17.875,67.97000122070312
2010-06-22,17.96500015258789,66.27999877929688
2010-06-23,17.954999923706055,67.44999694824219
2010-06-24,17.59000015258789,67.43000030517578
2010-06-25,17.4950008392334,68.7699966430664
