Date,UPS,American Airlines,Hyatt
2010-01-04,58.18000030517578,4.769999980926514,29.959999084472656
2010-01-05,58.279998779296875,5.309999942779541,30.0
2010-01-06,57.849998474121094,5.090000152587891,29.719999313354492
2010-01-07,57.40999984741211,5.239999771118164,29.889999389648438
2010-01-08,60.16999816894531,5.139999866485596,29.709999084472656
2010-01-11,62.81999969482422,5.039999961853027,29.809999465942383
2010-01-12,62.400001525878906,5.079999923706055,29.829999923706055
2010-01-13,62.06999969482422,5.480000019073486,30.729999542236328
2010-01-14,62.20000076293945,5.590000152587891,31.690000534057617
2010-01-15,61.93000030517578,5.5,31.75
2010-01-19,62.25,5.639999866485596,31.719999313354492
2010-01-20,61.15999984741211,5.739999771118164,31.299999237060547
2010-01-21,59.70000076293945,5.460000038146973,30.5
2010-01-22,58.75,5.239999771118164,29.56999969482422
2010-01-25,58.75,5.21999979019165,30.049999237060547
2010-01-26,58.63999938964844,5.050000190734863,29.8700008392334
2010-01-27,59.34000015258789,4.860000133514404,29.479999542236328
2010-01-28,58.959999084472656,5.139999866485596,29.81999969482422
2010-01-29,57.77000045776367,5.309999942779541,29.6200008392334
2010-02-01,58.38999938964844,5.599999904632568,29.850000381469727
2010-02-02,58.619998931884766,5.960000038146973,29.850000381469727
2010-02-03,58.869998931884766,5.659999847412109,29.5
2010-02-04,57.290000915527344,5.489999771118164,29.040000915527344
2010-02-05,57.20000076293945,5.889999866485596,28.6299991607666
2010-02-08,56.619998931884766,5.929999828338623,28.93000030517578
2010-02-09,57.40999984741211,6.440000057220459,29.0
2010-02-10,57.06999969482422,6.309999942779541,29.219999313354492
2010-02-11,56.720001220703125,6.320000171661377,29.229999542236328
2010-02-12,56.150001525878906,6.809999942779541,29.34000015258789
2010-02-16,57.33000183105469,6.880000114440918,29.690000534057617
2010-02-17,57.5099983215332,6.800000190734863,30.25
2010-02-18,57.16999816894531,6.730000019073486,30.0
2010-02-19,57.810001373291016,6.929999828338623,29.969999313354492
2010-02-22,57.95000076293945,7.019999980926514,30.93000030517578
2010-02-23,58.400001525878906,7.090000152587891,30.90999984741211
2010-02-24,58.7599983215332,7.170000076293945,31.149999618530273
2010-02-25,58.41999816894531,7.079999923706055,32.5
2010-02-26,58.7400016784668,7.329999923706055,33.43000030517578
2010-03-01,58.849998474121094,7.690000057220459,33.41999816894531
2010-03-02,59.15999984741211,7.679999828338623,33.119998931884766
2010-03-03,59.18000030517578,7.46999979019165,33.400001525878906
2010-03-04,59.20000076293945,7.320000171661377,33.75
2010-03-05,59.4900016784668,7.429999828338623,34.02000045776367
2010-03-08,59.79999923706055,7.320000171661377,34.66999816894531
2010-03-09,60.290000915527344,7.710000038146973,33.95000076293945
2010-03-10,60.72999954223633,7.940000057220459,33.79999923706055
2010-03-11,62.470001220703125,7.840000152587891,33.58000183105469
2010-03-12,62.31999969482422,7.949999809265137,34.04999923706055
2010-03-15,62.70000076293945,7.900000095367432,34.47999954223633
2010-03-16,62.47999954223633,7.769999980926514,36.11000061035156
2010-03-17,62.880001068115234,7.590000152587891,35.290000915527344
2010-03-18,64.41999816894531,7.5,35.70000076293945
2010-03-19,64.33000183105469,7.099999904632568,37.45000076293945
2010-03-22,63.959999084472656,7.269999980926514,37.90999984741211
2010-03-23,64.62000274658203,7.389999866485596,38.5099983215332
2010-03-24,63.77000045776367,7.409999847412109,38.349998474121094
2010-03-25,63.650001525878906,7.369999885559082,38.869998931884766
2010-03-26,63.66999816894531,7.300000190734863,39.45000076293945
2010-03-29,64.12999725341797,7.320000171661377,39.529998779296875
2010-03-30,64.52999877929688,7.21999979019165,39.2400016784668
2010-03-31,64.41000366210938,7.349999904632568,38.959999084472656
2010-04-01,64.1500015258789,7.400000095367432,38.790000915527344
2010-04-05,64.18000030517578,7.130000114440918,39.150001525878906
2010-04-06,64.22000122070312,7.079999923706055,38.9900016784668
2010-04-07,63.66999816894531,6.820000171661377,38.209999084472656
2010-04-08,64.2699966430664,7.550000190734863,39.279998779296875
2010-04-09,64.44000244140625,7.320000171661377,39.4900016784668
2010-04-12,64.76000213623047,7.619999885559082,38.95000076293945
2010-04-13,64.87999725341797,7.489999771118164,39.72999954223633
2010-04-14,65.44999694824219,7.420000076293945,40.61000061035156
2010-04-15,68.88999938964844,7.409999847412109,39.93000030517578
2010-04-16,68.20999908447266,7.150000095367432,39.150001525878906
2010-04-19,68.29000091552734,6.889999866485596,38.459999084472656
2010-04-20,68.05999755859375,7.139999866485596,38.25
2010-04-21,68.12000274658203,6.760000228881836,38.959999084472656
2010-04-22,68.26000213623047,6.46999979019165,40.7599983215332
2010-04-23,68.86000061035156,6.630000114440918,41.27000045776367
2010-04-26,68.5199966430664,6.480000019073486,41.709999084472656
2010-04-27,66.22000122070312,6.329999923706055,40.31999969482422
2010-04-28,68.30999755859375,7.320000171661377,40.38999938964844
2010-04-29,69.69999694824219,7.329999923706055,42.099998474121094
2010-04-30,69.13999938964844,7.070000171661377,41.16999816894531
2010-05-03,70.69999694824219,7.389999866485596,42.349998474121094
2010-05-04,68.94000244140625,6.860000133514404,42.040000915527344
2010-05-05,67.18000030517578,6.929999828338623,41.86000061035156
2010-05-06,65.0,6.389999866485596,41.189998626708984
2010-05-07,63.93000030517578,6.380000114440918,39.70000076293945
2010-05-10,67.4800033569336,6.949999809265137,40.97999954223633
2010-05-11,66.98999786376953,6.829999923706055,40.959999084472656
2010-05-12,68.2300033569336,7.300000190734863,41.529998779296875
2010-05-13,66.79000091552734,7.239999771118164,41.66999816894531
